Name,Money,Lean
Senate Leadership Fund,293731548,C
Senate Majority PAC,229900166,L
Congressional Leadership Fund,142783829,C
America First Action,133819980,C
Preserve America PAC,102983479,C
American Crossroads,79476031,C
Club for Growth Action,65478421,C
American Bridge 21st Century,59719576,L
Independence USA PAC,56530420,L
The Lincoln Project,49686216,L
LCV Victory Fund,42266508,L
Unite the Country,38923591,L
Peachtree PAC,37845500,C
Women Vote!,36769678,L
Black PAC,32453441,L
Americans for Prosperity Action,31997404,C
Everytown for Gun Safety Victory Fund,21197688,L
Georgia United Victory,20787073,C
Restoration PAC,19777016,C
NRA Victory Fund,19497530,C
Georgia Honor,19220880,L
DefendArizona,17048886,C
Family Friendly Action PAC,16012716,L
The Georgia Way,15737253,L
Plains PAC,15059744,C
Persist PAC,14784334,L
Women Speak Out PAC,14501237,C
Security Is Strength,13745831,C
National Assn of Realtors,13406493,X
Pacronym,13171426,L
Keep Kentucky Great,13044662,C
NextGen Climate Action,12580380,L
Better Future Michigan Fund,11641924,C
Planned Parenthood Votes,10542595,L
1820 PAC,10387507,C
EDF Action Votes,9861628,L
Republican Voters Against Trump,8958891,L
For Our Future,8735244,L
Protect Freedom PAC,8637504,C
Change Now PAC,8094477,L
Take Back 2020,8059126,L
North Star PAC,6945398,L
Citizens for Free Enterprise,6904675,C
Duty & Country PAC,6622923,L
Ending Spending Action Fund,6554317,C
With Honor Fund,6520697,X
House Freedom Action,6130380,C
Republican Jewish Coalition Victory Fund,6055340,C
Somos PAC,5693319,L
NEA Advocacy Fund,5534657,L
Our American Century,5500000,C
Nuestro PAC,5344916,L
Win Justice PAC,5334932,L
Sunflower State PAC,5298532,L
Americas PAC,5156549,C
Georgia Action Fund,5083672,C
Union 2020,4839217,L
Carolina Blue,4518796,L
Opportunity Matters Fund,4507239,C
Alliance for a Better Minnesota,4424269,L
Montana Hunters & Anglers Leadership Fund,4342650,L
New Leadership PAC,4118148,L
Somos Votantes,3983541,L
Sierra Club Independent Action,3739145,L
Working Arizona PAC,3710173,L
Patients for Affordable Drugs Action,3703479,L
Future45,3686908,C
Maine Way PAC,3550404,C
Center Forward Cmte,3398742,L
United We Can,3357353,L
New American Jobs Fund,3351017,L
American Principles Project,3326181,C
Defending Main Street,3324227,C
NRDC Action Votes,3298452,L
UNITE HERE PAC,3112804,L
Save America Fund,3019690,L
Faith & Power PAC,2928287,C
FreedomWorks for America,2783755,C
Forward California,2723036,L
Kitchen Table Conversations,2710262,L
Human Rights Campaign Equality Votes,2681977,L
Georgia Balance,2575000,C
Meidastouch,2521567,L
National Right To Life Victory Fund,2458661,C
Americans for Tomorrow's Future,2417699,X
Fair Share Action,2344073,L
Iowa Values Action,2204464,C
Independent Alaska,2119199,L
Working Families Party,2089585,L
One for All Cmte,2044099,L
Our Future United,2034600,L
Black Americans to Re-Elect the President,1976596,C
True Kentucky Patriots,1957857,X
Gun Owners Action Fund,1951301,C
Hard Hats for America,1836488,L
Act Now On Climate,1780481,L
Moms for Safe Neighborhoods,1779137,C
Planned Parenthood of Michigan,1726257,L
Conservative Outsider PAC,1597106,C
Truth & Justice Fund,1593208,L
Working People Rising Super PAC,1567613,L
America's Future Majority Fund,1521541,L
Let's Turn Colorado Blue,1499247,L
Supermajority PAC,1496513,L
Priorities for Iowa,1496504,C
For Our Families PAC,1457169,L
Black Voters Matter Action PAC,1448234,L
American Liberty Fund,1443365,C
Millions of Michiganians,1432042,L
LMG PAC,1419955,L
ClearPath Action,1409800,C
Governing Majority Fund,1360402,C
Standing With Conservatives,1326115,C
Community Change Voters,1307173,L
Texas Forward,1251993,L
Committee to Protect Medicare,1242003,L
NARAL Freedom Fund,1228348,L
Save the US Senate PAC,1224698,C
Defeat by Tweet,1200000,L
Liberty South Carolina,1131633,C
Asian American Advocacy Fund PAC,1105443,L
Keep Kansas Great PAC,1065932,C
America's Progressive Promise PAC,1056086,L
American Patriots PAC,1055396,C
Senate Conservatives Action,1051936,C
Really American PAC,1050964,L
Care in Action PAC,1024340,L
Trump Doomsday PAC,1022574,L
Tea Party Patriots Citizens Fund,1017917,C
American Working Families,1013025,L
Patriot Majority,979028,L
Keep America America Action Fund,962425,C
Votar Es Poder PAC,944027,L
United We Win,936743,L
One Country Fund,932048,L
Black Vote Pennsylvania,911875,L
Illinois Conservatives PAC,910100,C
"More Jobs, Less Government",894904,C
Future Progress,880006,L
Casa in Action PAC,867118,L
Grow NC Strong,866051,C
Fix Congress Now!,859222,C
Turnout Project,816085,L
The Collective Super PAC,811858,L
United for Progress,806718,L
Louisiana Legacy PAC,798200,C
Heartland Resurgence,790229,C
Vote Nurses Values PAC,784771,L
Stop 45 PAC,780318,L
United We Dream Action PAC,774481,L
Center for Essential Information,763319,L
New South Super PAC,731684,L
ProgressNow Arizona,729519,L
Unite to Win,701681,L
Fighting for Alabama Fund,680300,C
Right Women PAC,676071,C
Miles of Greatness Fund,669943,C
Valor America,664150,C
South Florida Residents First,656141,C
Battleground Georgia,618200,L
TakeAction Minnesota,602365,L
Committee for Stronger Rural Communities,600388,L
American Policy Fund,594990,C
Artists United for Change,581290,L
American Conservative Union Super PAC,579375,C
Just the Truth PAC,571167,L
Take Back the West PAC,567442,C
Special Operations For America,546016,C
Tea Party PAC,539000,C
Experienced Leadership Matters PAC,532620,L
Law Enforcement for a Safer America PAC,518177,C
Democratic Progress,493838,L
Unidosus Action PAC,489626,L
American Unity PAC,489248,C
Fired Up PAC,488069,C
The Nine PAC,486178,L
MATH PAC,475991,L
Planned Parenthood/Minnesota,450814,L
Democracy Preservation Initiative,444436,L
Environment America Action Fund,439981,L
Grit PAC,438580,C
United Food & Commercial Workers Advcy,433631,L
Americans for Police & Trooper Safety,430500,X
Concerned Conservatives Inc,424646,C
US Future Fund,417998,C
Common Sense New Mexico,404478,C
UNITE HERE Local 6,399970,L
American Values First,397171,C
Hunter Action Fund,392163,C
Economic Justice For All,389574,L
Ag Together PAC,385540,C
Heartland USA PAC,382484,C
National Nurses United for Patient Protection,382402,L
Career Education PAC,380000,C
Working Michigan,379999,L
Americans for All,379000,L
America One PAC,375000,C
New Journey PAC,374712,C
Operating Engineers Union EARN,374000,L
Conservatives Acting Together PAC,363754,C
Future Leaders Fund,362385,C
Florida Freedom PAC,362344,L
Coalition for American Veterans,357724,C
Keep Pennsylvania Great,350276,C
FedUp PAC,348877,C
Ultraviolet PAC,343181,L
Republican Leadership for Oregon,342726,C
Wingman PAC,337265,C
Maine People PAC,335122,L
San Manuel Band of Mission Indians,333236,X
Protecting Our Values,333105,L
Black Lives Matter PAC,331260,L
Americans for Security PAC,328040,C
Women's March Win,324696,L
American Dental Assn Super PAC,323186,X
Our Voice Our Vote Arizona PAC,318239,L
Restore Oklahoma,317540,C
Jewish Democratic Council of America,317197,L
Made in America PAC,316376,C
New American Voices,315614,L
Protecting Our Vote,309380,L
Rural Colorado United,308900,L
Vote Values,306152,L
Us Veterans Assistance Foundation,300000,C
Right Now Usa,297000,C
Cooperative of American Physicians,295734,X
Honoring American Law Enforcement PAC,292283,C
Jews Choose Four More Years,292057,C
Communications Workers of America Working Voices,288936,L
American Valor PAC,286910,C
Our Future Is Black PAC,286465,L
Pennsylvania Values,285000,L
Stars & Stripes Forever PAC,280555,C
CFG Action Montana,275227,C
Drain the DC Swamp PAC,273007,C
Citizens for a United New Mexico,268000,C
Making Congress Great Again,267716,C
American Jobs & Growth PAC,264834,C
Independent Liberty PAC,263255,C
Police Officers Defense Alliance,260000,C
Ohio Freedom Fund,259999,C
Defend Texas Fund,259020,C
Planned Parenthood Alliance,257832,L
Lone Star Forward,255200,L
American Foundations Cmte,254000,C
Fighting For Kansas PAC,251449,C
Flip the Senate PAC,246402,L
Voter Accountability Project,240086,C
Veterans For Responsible Leadership,238232,L
Energy Security PAC,233104,C
New Prosperity Foundation,227896,C
Jersey Real,224800,C
Oregon Right To Life Victory PAC,223437,C
Stand With Texas PAC,222500,C
Firefighters Support Assn,222350,X
Higher Heights Political Fund,220000,L
Occupy Democrats Election Fund,217865,L
Michigan Action,217504,L
Civic PAC,216775,C
Vote for Equality,216144,L
American Values PAC,215671,L
Humanity Forward Fund,211161,L
Together We Thrive,208924,L
Montana Wildlife Action Fund,207897,L
Southern Strategy,205990,L
Change Campaign Super PAC,204995,L
Swamp Drainers Foundation,204728,C
The Liberty PAC,202910,C
Civic Innovation USA,200106,L
Michigan Forward Action,198800,L
Veterans Aid PAC,190624,X
RuralVote.org,189808,L
Desert Leadership Fund,188633,C
Educators For Ohio,188612,L
Honesty America Inc,188407,C
Unite for Colorado Action,185000,C
Families for Freedom PAC,180750,C
"Liberty, Family, Future PAC",177906,C
Principles Project,174500,L
Reclaim Our Party,172362,L
Blue Tide NY-1 LLC,168919,L
New Hampshire Freedom Fund,167702,C
Florida Homeowners Protection,161797,L
Fight for the American Dream PAC,161673,L
SG PAC,159637,C
Onward South Carolina,158000,L
One Tough Sheriff,154438,C
Awake Carolina,153718,C
Patriots Fund,153428,C
Alliance for A Greater Minnesota,152465,C
Make New Mexico Great PAC,152315,C
Not Our Faith PAC,151556,L
America's Future First,151525,L
Equality California Votes,150338,L
Conservatives For Effective Government,149798,C
No Labels Action,149542,X
Right for New York,148866,C
Leadership For A Strong America,148667,C
Blue Texas PAC,148201,L
The Heartland PAC,142599,C
Dream Defenders Fight PAC,142435,L
Stand With Us Cmte,141775,L
Local Voices,139997,L
Texans Coming Together,138495,C
Stop Socialism Now PAC,136386,C
Latino Vote for America,132800,C
Flip The West,131694,L
The People's Campaign,131658,L
Revive America PAC,130999,C
Kansas Ag Communities Coalition,130197,C
USW Works,129806,L
Gun Rights America,126262,C
One Nation United,126000,L
Right for Alabama,121256,C
Hardworking Americans Cmte,120908,C
Laborers Union/Minnesota & North Dakota,118800,L
New Hampshire Freedom & Liberty,118472,C
"God, Guns, Life PAC",116847,C
Truth Still Matters PAC,116482,C
Courage California Super PAC,113416,L
E Pluribus PAC,111878,L
"Jobs, Opportunity & Freedom PAC",109464,C
Undivided Purpose,106812,L
Upstate Strong,103000,C
Red Senate PAC,102297,C
Black Men Vote,100000,L
Valor Project,100000,C
Democratic Coalition,98059,L
C3 PAC,97345,C
Hunter Nation Action,95926,C
Stand Against Communism,95016,C
Visual Disobedience Campaign Cmte,94883,L
Rural Freedom Network,94518,L
Elect Honest Leadership PAC,92982,L
Bloc PAC,91896,L
Heroes United PAC,90500,X
I-PAC (Georgia),90416,L
United Veterans Alliance of America,90000,X
Stand for Truth,89500,C
Concerned Citizens of Michigan,87413,L
One APIA PAC,87044,L
Conservatives for Alabama,87000,C
Good Party,84997,X
Democratic Frontline,83925,L
Four More Years PAC,83885,C
Faith Voters,83271,L
Firefighters Alliance of America,82500,X
Trusted Conservatives,82020,C
Planned Parenthood Orange/San Bernardino,81795,L
Save Our Senate,80750,C
Community Health Council PAC,80700,X
New Power PAC,77785,L
National Immigrant Victory Fund,76009,L
Blue Organizing Project,75000,L
Losers & Suckers Vote,74978,L
Lone Star Values PAC,74100,C
Iowa Four PAC,72494,C
American Coalition for Injured Veterans,72400,X
Patriot Action Fund,71619,C
Maine Outdoor Heritage PAC,71586,C
Committee for Access to Affordable Healthcare,70650,L
Autism Hear Us Now,70000,X
Defend the Lehigh Valley,69785,C
New Leadership for Virginia,69510,C
Middle Class Fighting to Restore Arizona's Unity,69186,L
United Police Officers Assn,69000,X
Fight For America's Future PAC,68000,L
National Horizon,67580,C
Heroes PAC,67150,C
Pennsylvania Common Sense,66287,L
Seal PAC USA,66000,C
Jobs Coalition Action Fund,65799,C
A Great America PAC,64652,C
Colorado Rising PAC,64350,C
NYIC Political Action Fund,64143,L
Keep Texas Great PAC,63294,C
OpenSourceMT,63032,L
United Against White Supremacy,62382,L
Keeping Northeast Georgia Great,59295,C
Hometown Values PAC,58945,L
Toughest Fights PAC,56175,L
SWPA Moving Forward,55849,L
Save Our Senate PAC,55762,L
The Last Draw,55473,L
Liberty Leadership Fund,55458,C
No Socialism PAC,55185,C
Standing for Wisconsin Families,54460,C
Michigan Liberation Action Fund,52093,L
Protect the Vote,52044,L
Progress United,52000,L
Texas Right to Life,51531,C
We Vote - Nosotros Votamos,50981,L
Constitutional Leadership PAC,50485,C
American Freedom Fund,50000,C
Send In the Marine PAC,50000,C
Nosotros PAC,48898,L
LV Strong,48253,C
American Veteran Society,47034,X
ElevenThreeBlue,46126,L
Championing America At Her Best,46086,C
Late Breakers PAC,45414,L
Jewish Unity PAC,43776,L
Hoosier Heartland Fund,43700,C
Conservatives for a Better North Carolina,43209,C
Georgia Safe & Strong,40000,L
Arizona Republicans Who Believe in Treating Others,39093,L
New Moral Majority,38816,L
Americans United for Values,38650,C
Free & Fair Montana,38408,L
Million More Voters,38300,L
Unidos We Win PAC,38091,L
Montana Next,37397,L
Middle Resolution,36887,C
Independents for Prosperity,36687,C
Right to Life of Michigan Victory Fund,36524,C
People of Principle,36168,L
Let America Work,36072,C
Courageous Conservatives PAC,35858,C
California Moderate Voices,35000,L
Conservative Outsiders PAC,35000,C
Cops & Kids Together,35000,X
The 99 Problems,35000,L
Victory Fund,35000,C
ATU Action Fund,34994,L
Colorado's Working Families,34861,L
IATSE Federal Speech PAC,34667,L
Win America Back PAC,34667,L
Jews Defending American Values,33776,L
New Jersey Now Action Fund,33636,C
Taking Action For Suffolk County,33000,L
Middle Class Values PAC,32266,L
Thank You PAC,31540,C
Defenders PAC,31500,L
Fair & Balanced PAC,30000,L
Florida Eighth PAC,30000,C
New Mexico Strong Fund,30000,C
Americans for Accountability in Leadership,29653,C
Georgia First PAC,29320,C
Fight for Our Communities PAC,28000,L
Truckers for Yang PAC,28000,L
Amarillo Matters PAC,27982,C
Farm Bureau PAC,27830,C
America Votes Action Fund,27722,L
Conservative Cattleman's PAC,27167,C
Go Green Montana PAC,27090,C
E Pluribus Unum PAC,26500,L
Blue America PAC IE Cmte,26408,L
Bold Future PAC,26027,L
Perfect Together PAC,26000,C
Revitalizing Our American Dreams PAC,25000,C
Protect Long Island PAC,24000,C
Together for Progress 2020,24000,L
Orange County PAC,23798,L
Next Senate PAC,23500,L
Make Virginia Great Again,23074,C
Miami-Dade Jewish Alliance for Positive Leadership,23040,C
Bless Your Heart Coalition,22672,C
Texas Freedom PAC,21609,C
RelationPAC,21560,L
Enough Is Enough Voter Project,21150,L
Lead Right New Jersey,20897,C
Chinese Progressive PAC,20841,L
Committee For Defending American Values,20600,C
Win the West,20186,L
Big Tree PAC,20168,C
America United,20000,C
Blue Turnout Project,19406,L
Conservative Triumph Fund,18948,C
Women for a More Christian America,18524,L
American Wounded Veterans PAC,18000,X
Concerned Americans for America,17249,C
Keep Florida Great PAC,17146,C
Liberty For Us Super PAC,17000,C
Chinese American Patriots,16500,C
Montana Shooting Sports Assn,16126,C
Bronx United,16000,L
Patriotic Legal Immigrants USA,15780,C
"Our Future, Our Fight PAC",15503,C
Butterflypac,15219,L
Save America Super PAC,14500,C
Freedom For All PAC,14490,C
Reinvesting In America 2020,14130,L
Retired Americans PAC,14095,L
Indiana Conservative Super PAC,13950,C
Common Defense Action Fund,13724,L
Texas Alliance for Life,13604,C
Christians for the President,13577,C
Keystone Conservatives for a Change,12720,C
Defend Conservatives PAC,11656,C
Georgia Blue Project,11499,L
Everyday People PAC,11422,L
Seniors for Affordable Healthcare PAC,11359,C
FPC American Victory Fund,10656,C
Concerned Citizen PAC,10448,C
Freethought Equality Super PAC,10278,L
America First Victory Fund,9847,C
Make the Road Action,9428,L
Don't Look Away Inc,8865,L
Red White & Definitely Blue,8505,L
Question PAC,8452,L
Arizona Leadership Alliance,8340,C
North Country PAC,8200,C
Faith Family Freedom Fund,8114,C
Restore Truth PAC,8000,C
New American Populist PAC,7610,C
Freedom & Prosperity Fund,7500,C
Priority Action PAC,7000,C
Regular People PAC,7000,L
Immigrant Power PAC,6862,L
North Carolina Values Coalition PAC,6445,C
Restore Our Healthcare,6285,C
Pennsylvania Victory Network,5783,C
Judicial Fairness Project,5532,C
Direct Selling Assn,5000,X
No to Joe PAC,5000,C
Secure the Border Super PAC,5000,C
Jewish Floridians for America's Future,4950,C
Senator In Name Only,4867,L
Supreme Billboards,4770,L
Clean Wave,4500,L
Committee for Common Sense Votes in Pennsylvania,4500,L
Disable the Enablers,4500,L
New Beginnings PAC,4500,L
Planned Parenthood/Los Angeles County,4158,L
Climate Hawks Vote,4100,L
Transport Workers Union Voice,4017,L
End Police Brutality,4000,L
Planned Parenthood/Pacific Southwest,3944,L
Ixnay PAC,3913,L
CD1 Alliance,3190,L
Texas Patriots PAC,3165,C
Keep Livingston Great,3157,C
Oregon Progressive Delegates,2795,L
No Stone Unturned PAC,2778,L
Organizing Empowerment PAC,2750,L
Conservatives Of PAC,2650,C
He's Gotta Go PAC,2357,C
Big Nudge PAC,2333,L
Great Virginia PAC,2177,C
Keep Texas Red,2084,C
Service Matters PAC,2000,C
Call to Action PAC,1883,L
Phyllis Schlafly's Eagle PAC,1591,C
People & Politics PAC,1542,C
Our City Our Future PAC,1478,L
Abundance for America,1209,L
Young Leadership Coalition,1036,C
With the Vote PAC,1027,L
7Gen Leaders,1000,L
Our America PAC (Illinois),1000,C
Committee to Affect Change,784,L
Change Congress Now/Cambio Congreso Ya,750,L
Freedom Through Truth,732,C
New Leaders Fund,650,X
Citizens For An Undivided America,600,C
Raise Up PAC,600,C
Disarm the Deep State,590,C
Millennials for Progress,550,L
Best Days Ahead,489,L
Rural & Red PAC,458,C
Mid-MO For Bernie,409,L
Guardian PAC,360,L
The Shadow Projector,331,L
Ohio Strong Action,325,C
TJD PAC,250,L
Making Us Great Again,244,L
Sad Reality Acceptance Cmte,243,L
Patriot Defenders of America,224,C
One Chance Initiative,62,L
Swing State PAC,50,L
Silicon Slopes PAC,19,L
